"Note","Course","Module","Clip","Time in Clip","URL"
"Git init creates a repo of the project locally. Commits are snap shots saved on your machine.","Git: The Big Picture","Understanding Version Control","Tracking a Project's History","0:22","https://app.pluralsight.com/player?course=git-big-picture&author=paolo-perrotta&name=5bbf7f5b-6756-4f9d-8aa2-8ce834163019&clip=0&mode=live&start=22&noteid=77de227f-6b4f-42bd-888c-ce93c88eefaa"
" Build machines, build code, run tests, deploy to dev servers. The idea is to do it often, and then everyone's changes are consistently merged and integrated to work together. ","Git: The Big Picture","Understanding Version Control","Coordinating Teamwork","2:55","https://app.pluralsight.com/player?course=git-big-picture&author=paolo-perrotta&name=5bbf7f5b-6756-4f9d-8aa2-8ce834163019&clip=3&mode=live&start=175&noteid=e6d786ce-d03f-4761-9e2f-d96fc1574a04"
"if it hurts, do it more often - check in more often, to have fewer conflicts.","Git: The Big Picture","Understanding Version Control","Coordinating Teamwork","4:02","https://app.pluralsight.com/player?course=git-big-picture&author=paolo-perrotta&name=5bbf7f5b-6756-4f9d-8aa2-8ce834163019&clip=3&mode=live&start=242&noteid=34f060a6-df38-47f1-827d-c63a2aea98c1"
"Why git: Fast, Smart, flexible, safe.","Git: The Big Picture","Making Sense of Git","A Few Reasons to Like Git","1:39","https://app.pluralsight.com/player?course=git-big-picture&author=paolo-perrotta&name=8da579b3-076a-4e4e-addd-a97be5c52e9a&clip=0&mode=live&start=99&noteid=87504ba8-3e1b-4104-91cf-157bd4733c38"
"The main git benefit is that it's distributed version control: each user has an entire copy of the repo on their machine, with all the history of changes.  File .git lives in the root of the local repo and has the entire copy of the repo. ","Git: The Big Picture","Making Sense of Git","Distributed Version Control","3:52","https://app.pluralsight.com/player?course=git-big-picture&author=paolo-perrotta&name=8da579b3-076a-4e4e-addd-a97be5c52e9a&clip=2&mode=live&start=232&noteid=015bab05-6a0e-4e96-afa6-9e2f14f38ed4"
" Connection of the users repo to the main repo is remote connection and calls remotes.","Git: The Big Picture","Making Sense of Git","Distributed Version Control","3:52","https://app.pluralsight.com/player?course=git-big-picture&author=paolo-perrotta&name=8da579b3-076a-4e4e-addd-a97be5c52e9a&clip=2&mode=live&start=232&noteid=2b2afbdf-9553-4ed8-87c5-d636ff0a22f2"
"Git is not good for binary file like video.","Git: The Big Picture","Making Sense of Git","A Few Reasons to Dislike Git","3:41","https://app.pluralsight.com/player?course=git-big-picture&author=paolo-perrotta&name=8da579b3-076a-4e4e-addd-a97be5c52e9a&clip=3&mode=live&start=221&noteid=cf147511-ee5f-4a90-baa1-8e6f9877f63e"
"Git is not user-friendly.","Git: The Big Picture","Making Sense of Git","A Few Reasons to Dislike Git","4:18","https://app.pluralsight.com/player?course=git-big-picture&author=paolo-perrotta&name=8da579b3-076a-4e4e-addd-a97be5c52e9a&clip=3&mode=live&start=258&noteid=792151d0-5172-495f-b668-0665789368f8"

"test git commit"
"test git commit2"
